"participant_image","matched_image","prompt"
"10A_11.png","midjourney_1884.png","cyberpunk style tram, white geometric panels on the exterior, big windows, glass roof, led lights"
"10A_12.png","midjourney_0418.png","cyberpunk style tram, white geometric panels on the exterior, big windows, glass roof, led lights"
"10A_13_1.png","midjourney_0441.png","futuristic tram, big windows, geometric panels on the exterior, white, tinted windows"
"10A_13_2.png","midjourney_0441.png","futuristic tram, big windows, geometric panels on the exterior, white, tinted windows"
"10A_14.png","midjourney_0718.png","futuristic tram, big windows, geometric panels on the exterior, white, tinted windows"
"10A_15.png","midjourney_1761.png","tram interior, futuristic, cyberpunk style, geometric forms, seating"
"10A_16.png","midjourney_1196.png","tram interior, futuristic, cyberpunk style, geometric forms, seating"
"10B_11.png","midjourney_0559.png","tram outside,abstract,led light,drawing on the ceiling that goes info the floor,eco,smooth curves"
"10B_12.png","midjourney_1615.png","tram,eco,big window,blue,abstrat seat,led light"
"11A_11.png","midjourney_1219.png","future, futuristic, tram, streamlined, navy blue, fast, wavy, in the city, modern"
"11A_12.png","midjourney_1857.png","future, futuristic, tram, streamlined, navy blue, fast, wavy, in the city, modern"
"11A_13.png","midjourney_0838.png","future, high realistic, interior tram, streamlined, fast, wavy, brown, in the city, modern, liquid"
"11A_14.png","midjourney_1312.png","future, interior tram, streamlined, fast, wavy, brown, in the city, modern, liquid, bubbles"
"11A_15.png","midjourney_1732.png","future, interior tram, streamlined, fast, wavy, brown, in the city, modern, liquid, bubbles"
"11A_16.png","midjourney_0545.png","future, interior tram, streamlined, fast, wavy, brown, in the city, modern, liquid"
"11A_17.png","midjourney_1430.png","future, interior tram, streamlined, fast, wavy, navy blue,bladerunner, seaweed, in the city, modern"
"11A_18.png","midjourney_0714.png","future, interior tram, streamlined, fast, wavy, navy blue,bladerunner, seaweed, in the city, modern"
"11A_19.png","midjourney_1554.png","future, interior tram, streamlined, fast, wavy, navy blue,bladerunner, seaweed, in the city, modern"
"11A_20.png","midjourney_2232.png","future, interior tram, streamlined, fast, wavy, navy blue,bladerunner, seaweed, in the city, modern"
"11B_11.png","midjourney_0005.png","future, futuristic tram, streamlined, fast, wavy, brown, in the city, modern"
"11B_12.png","midjourney_2040.png","future, futuristic tram, streamlined, fast, wavy, brown, in the city, modern"
"11B_13.png","midjourney_0607.png","future, futuristic tram, streamlined, fast, wavy, brown, in the city, modern"
"11B_14.png","midjourney_0917.png","future, tram interior, streamlined, fast, wavy, brown, sand colors, navy blue, bone structure,bladerunner, seaweed"
