"path","prompt"
"midjourney_0001.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0004.png","interior tram cozy modern minimalist pop of colour nice"
"midjourney_0006.png","middle of the tram, oval shapes, metal, future, neon"
"midjourney_0009.png","tram, interior, modern, colourful,"
"midjourney_0012.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0013.png","futuristic elegant beige tram with neons and large window"
"midjourney_0014.png","tram, comfort, cosmos, oval shapes"
"midjourney_0016.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
"midjourney_0017.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0020.png","futuristic elegent tram with beige interior and large window"
"midjourney_0022.png","e tram, modern, glass, interior, led light"
"midjourney_0024.png","tram metro interior modern comfortable white led irregular seats organic shapes in the middle"
"midjourney_0025.png","tram, window, exterior, modent, future"
"midjourney_0027.png","tram, interior, ergonomic, modern, future, eco, unusual shapes, biophilic, photorealistic, streamlined, luxurious, sustainable"
"midjourney_0029.png","long irregular seats, tape seats, tape, long shapes, tram, transport, imagine, future, modern, futuristic, smart"
"midjourney_0030.png","tram modern classic natural light retro organic shape marble metal glass"
"midjourney_0031.png","e tram, modern, glass, interior, led light"
"midjourney_0032.png","classic metro design train old"
"midjourney_0035.png","tram interior modern cosmic abstract spaceship"
"midjourney_0038.png","tram, modern tram, traditional town, nice view, interesting lighting, green colour, white colour, clean design, avaibility, seats, space for bicycles, space for luggage"
"midjourney_0041.png","tram, metro, interior, future, modern"
"midjourney_0043.png","middle of the tram, oval shapes, metal, future"
"midjourney_0045.png","tram interior modern good design clean"
"midjourney_0054.png","metro train interior organic branches form"
"midjourney_0055.png","tram, spacious, modern technology, innovative, aesthetic, futuristic, interior, exterior, smart, elegant"
"midjourney_0058.png","tram interior design with light modern led organic"
"midjourney_0059.png","tram"
"midjourney_0066.png","tram, interior, stained glass, colorful glass, monochrome upholstery, modern"
"midjourney_0067.png","tram, interesting shapes, night city with lights, modern tram, led violett, red, blue, space atmosphere, clean design, panoramic window, manoramic ceiling"
